Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Diet,Experiment,gender,genetic_condition,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,strain,tissue,GEO_Accession (exp)
SRR3440742,Bisulfite-Seq,150,2797777950,PRJNA319643,SAMN04902297,1208573102,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",standard,SRX1727136,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:45:00Z,1,GSM2132848,Whole Blood,SRP073930,C57BL/6,whole blood,
SRR3440743,Bisulfite-Seq,150,3021061650,PRJNA319643,SAMN04902297,1264896205,GEO,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",standard,SRX1727136,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:45:00Z,1,GSM2132848,Whole Blood,SRP073930,C57BL/6,whole blood,
SRR3440565,Bisulfite-Seq,150,5077961400,PRJNA319643,SAMN04902251,2535396174,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",standard,SRX1727000,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:52:00Z,1,GSM2132712,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132712
SRR3440566,Bisulfite-Seq,150,5574276150,PRJNA319643,SAMN04902252,2777080295,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",standard,SRX1727001,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:42:00Z,1,GSM2132713,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132713
SRR3440567,Bisulfite-Seq,150,5852789850,PRJNA319643,SAMN04902253,2925011299,GEO,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",standard,SRX1727002,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T13:09:00Z,1,GSM2132714,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132714
SRR3440568,Bisulfite-Seq,150,6069354450,PRJNA319643,SAMN04902254,3030737146,GEO,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",standard,SRX1727003,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T13:08:00Z,1,GSM2132715,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132715
SRR3440569,Bisulfite-Seq,150,5059694850,PRJNA319643,SAMN04902255,2504613920,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",standard,SRX1727004,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:44:00Z,1,GSM2132716,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132716
SRR3440570,Bisulfite-Seq,150,4523691150,PRJNA319643,SAMN04902256,2243653792,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",standard,SRX1727005,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:41:00Z,1,GSM2132717,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132717
SRR3440571,Bisulfite-Seq,150,5831741550,PRJNA319643,SAMN04902257,2925027642,GEO,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",standard,SRX1727006,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T13:09:00Z,1,GSM2132718,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132718
SRR3440572,Bisulfite-Seq,150,5097034500,PRJNA319643,SAMN04902258,2521655917,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",standard,SRX1727007,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:42:00Z,1,GSM2132719,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132719
SRR3440573,Bisulfite-Seq,150,4130238450,PRJNA319643,SAMN04902259,2039915709,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",standard,SRX1727008,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:39:00Z,1,GSM2132720,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132720
SRR3440574,Bisulfite-Seq,150,4128160650,PRJNA319643,SAMN04902260,2072077993,GEO,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",standard,SRX1727009,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:40:00Z,1,GSM2132721,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132721
SRR3440575,Bisulfite-Seq,150,4637005200,PRJNA319643,SAMN04902261,2300927381,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",standard,SRX1727010,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:41:00Z,1,GSM2132722,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132722
SRR3440576,Bisulfite-Seq,150,5819148900,PRJNA319643,SAMN04902262,2919057110,GEO,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",standard,SRX1727011,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:44:00Z,1,GSM2132723,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132723
SRR3440607,Bisulfite-Seq,150,2071632450,PRJNA319643,SAMN04902074,919057470,GEO,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",standard,SRX1727032,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:37:00Z,1,GSM2132744,Whole Blood,SRP073930,B6D2F1,whole blood,GSM2132744
