geo_accession,sample name,run,assay type,avgspotlen,bases,bioproject,biosample,bytes,center name,consent,datastore filetype,datastore provider,datastore region,diet,experiment,gender,genetic_condition,instrument,librarylayout,libraryselection,librarysource,organism,platform,releasedate,create_date,version,source_name,sra study,strain,tissue,geo_accession (exp),strain/condition,age,sex,aligned pe reads,prepared for sequencing ,used in subset 1/2,age_days
GSM2132712,20D02,SRR3440565,Bisulfite-Seq,150,5077961400,PRJNA319643,SAMN04902251,2535396174,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",standard,SRX1727000,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:52:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132712,C57BL/6_NIA/BWH,0.67,Male,22860348,D.A. Petkovich,,20.1
GSM2132713,20D03,SRR3440566,Bisulfite-Seq,150,5574276150,PRJNA319643,SAMN04902252,2777080295,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",standard,SRX1727001,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:42:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132713,C57BL/6_NIA/BWH,0.67,Male,24139755,D.A. Petkovich,,20.1
GSM2132714,20D04,SRR3440567,Bisulfite-Seq,150,5852789850,PRJNA319643,SAMN04902253,2925011299,GEO,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",standard,SRX1727002,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T13:09:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132714,C57BL/6_NIA/BWH,0.67,Male,26017532,D.A. Petkovich,,20.1
GSM2132715,20D05,SRR3440568,Bisulfite-Seq,150,6069354450,PRJNA319643,SAMN04902254,3030737146,GEO,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",standard,SRX1727003,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T13:08:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132715,C57BL/6_NIA/BWH,0.67,Male,26465141,D.A. Petkovich,,20.1
GSM2132716,20D06,SRR3440569,Bisulfite-Seq,150,5059694850,PRJNA319643,SAMN04902255,2504613920,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",standard,SRX1727004,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:44:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132716,C57BL/6_NIA/BWH,0.67,Male,22587003,D.A. Petkovich,,20.1
GSM2132717,20D07,SRR3440570,Bisulfite-Seq,150,4523691150,PRJNA319643,SAMN04902256,2243653792,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",standard,SRX1727005,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:41:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132717,C57BL/6_NIA/BWH,0.67,Male,19399155,D.A. Petkovich,,20.1
GSM2132718,35D01,SRR3440571,Bisulfite-Seq,150,5831741550,PRJNA319643,SAMN04902257,2925027642,GEO,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",standard,SRX1727006,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T13:09:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132718,C57BL/6_NIA/BWH,1.17,Male,25708458,D.A. Petkovich,,35.099999999999994
GSM2132719,35D02,SRR3440572,Bisulfite-Seq,150,5097034500,PRJNA319643,SAMN04902258,2521655917,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",standard,SRX1727007,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:42:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132719,C57BL/6_NIA/BWH,1.17,Male,23720773,D.A. Petkovich,,35.099999999999994
GSM2132720,35D04,SRR3440573,Bisulfite-Seq,150,4130238450,PRJNA319643,SAMN04902259,2039915709,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",standard,SRX1727008,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:39:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132720,C57BL/6_NIA/BWH,1.17,Male,18390695,D.A. Petkovich,,35.099999999999994
GSM2132721,35D05,SRR3440574,Bisulfite-Seq,150,4128160650,PRJNA319643,SAMN04902260,2072077993,GEO,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",standard,SRX1727009,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:40:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132721,C57BL/6_NIA/BWH,1.17,Male,19100733,D.A. Petkovich,,35.099999999999994
